"Time, Profit, Seed"
0.3310391902923584,77,0
0.30320239067077637,77,0
0.32287073135375977,66,0
0.30422544479370117,68,0
0.30228352546691895,66,0
0.30681347846984863,79,0
0.5118348598480225,83,0
0.4046900272369385,77,0
0.28514575958251953,71,0
0.2914855480194092,70,0
0.268047571182251,77,0
0.3293342590332031,77,0
0.27960801124572754,77,0
0.36304736137390137,76,0
0.32824087142944336,70,0
0.2581181526184082,73,0
0.2670259475708008,73,0
0.3849599361419678,77,0
0.32106971740722656,77,0
0.3199756145477295,74,0
0.2986421585083008,92,1
0.3545541763305664,98,1
0.33443379402160645,96,1
0.41971707344055176,100,1
0.3316636085510254,87,1
0.3661768436431885,97,1
0.3602159023284912,97,1
0.3257629871368408,95,1
0.30495762825012207,93,1
0.33922314643859863,98,1
0.3628401756286621,98,1
0.33736133575439453,94,1
0.3313314914703369,99,1
0.28768491744995117,95,1
0.3422832489013672,100,1
0.2962324619293213,96,1
0.2668941020965576,91,1
0.424968957901001,100,1
0.34409332275390625,98,1
0.29219794273376465,86,1
0.3855867385864258,86,2
0.30872154235839844,85,2
0.32268619537353516,86,2
0.4122931957244873,86,2
0.3312680721282959,86,2
0.3852224349975586,86,2
0.33685970306396484,86,2
0.3678901195526123,86,2
0.3436133861541748,86,2
0.3408851623535156,83,2
0.37345051765441895,86,2
0.28084301948547363,80,2
0.3675577640533447,86,2
0.41396450996398926,80,2
0.32059192657470703,79,2
0.3180115222930908,86,2
0.41775059700012207,79,2
0.3039126396179199,79,2
0.40816330909729004,86,2
0.3562498092651367,86,2
0.21516680717468262,63,3
0.19888591766357422,69,3
0.21654891967773438,69,3
0.2532041072845459,63,3
0.23824548721313477,66,3
0.21517539024353027,69,3
0.21992230415344238,66,3
